type,hrsys_rotation_id,etl_date,etl_date2,profile_id,desired_location,desired_country,ingest_ts,ingest_ts_offset
Career Hub,HR-15232493,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"Virginia, Statewide",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"Washington, Kirkland",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"Washington, Redmond",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-15232493,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,01f56be9-c954-4d7e-9cb0-b1180155d86b,"Washington, Statewide",USA,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-5910149,2026-05-04 02:26:00,2026-05-04 11:32:18.430000,021e9cb4-f725-4011-b63d-aa7a006f9838,"California, Los Angeles",USA,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:27:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Boeblingen,Germany,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:24:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Bracknell,UK,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:24:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Brisbane,Australia,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Galway,Ireland,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Krefeld,Germany,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:27:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Mechelen,Belgium,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:27:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Munich,Germany,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Sant Cugat del Valles,Spain,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Seville,Spain,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:24:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Stockholm-Solna,Sweden,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:27:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Stockholm-Solna,Sweden,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:27:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Turin,Italy,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:24:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Ulm,Germany,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,WGC,UK,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:27:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Wolfsburg,Germany,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:24:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Wollongong,Australia,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:27:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Wollongong,Australia,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-16006361,2026-05-04 02:28:00,2026-05-04 11:32:18.430000,00066cc7-d72d-4fba-b945-b2270099e410,Zaragoza,Spain,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-4116737,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,000db001-aa67-4db0-bce5-a87f00ed02f9,"Menlo Park, CA",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-4116737,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,000db001-aa67-4db0-bce5-a87f00ed02f9,"New York, New York City",USA,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-4116737,2026-05-04 02:29:00,2026-05-04 11:32:18.430000,000db001-aa67-4db0-bce5-a87f00ed02f9,WGC,UK,2026-05-05 11:46:05.124189,UTC-4
Career Hub,HR-7692484,2026-05-04 02:31:00,2026-05-04 11:32:18.430000,002d41bd-4959-402e-bdeb-abf200d2aef7,Unterschleissheim,Germany,2026-05-05 11:46:05.124189,UTC-4
Internal Mobility,HR-9961289,2026-05-04 02:24:00,2026-05-04 11:32:18.430000,0032a0a6-9820-489d-b8c1-add500d9fc22,"Argyle, TX",USA,2026-05-05 11:46:05.124189,UTC-4
